id,total_a_bordo,pasajero_a_bordo,tripulantes_a_bordo,total_fallecidos,pasajeros_fallecidos,tripulantes_fallecidos,fallecidos_en_tierra
577,11,9,2,11,9,2,0
578,8,4,4,8,4,4,0
579,14,10,4,14,10,4,0
580,5,2,3,5,2,3,0
581,5,0,5,5,0,5,0
582,9,7,2,9,7,2,0
583,1,0,0,1,0,0,0
584,4,0,0,4,0,0,0
585,13,10,3,2,2,0,0
586,10,6,4,10,6,4,0
587,11,9,2,11,9,2,0
588,15,12,3,15,12,3,0
589,25,21,4,25,21,4,0
590,12,9,3,7,4,3,0
591,14,10,4,9,8,1,0
592,15,12,3,2,0,2,0
593,17,14,3,17,14,3,0
594,10,8,2,10,8,2,0
595,18,14,4,18,14,4,0
596,29,23,6,29,23,6,0
597,6,0,0,6,0,0,0
598,16,13,3,10,7,3,0
599,7,3,4,7,3,4,0
600,16,12,4,16,12,4,0
601,10,6,4,10,6,4,0
602,16,13,3,12,9,3,0
603,6,1,5,5,1,4,0
604,13,10,3,2,1,1,0
605,12,9,3,12,9,3,0
606,16,13,3,9,6,3,0
607,12,9,3,3,3,0,0
608,10,6,4,10,6,4,0
609,6,5,1,6,5,1,0
610,18,3,15,0,0,0,0
611,18,15,3,18,15,3,0
612,25,20,5,5,5,0,0
613,22,17,5,22,17,5,0
614,22,0,0,22,0,0,0
615,14,10,4,8,5,3,0
616,3,2,1,3,2,1,0
617,10,0,0,10,0,0,0
618,17,14,3,15,12,3,0
619,15,9,6,2,2,0,0
620,13,10,3,13,10,3,0
621,15,13,2,14,13,1,0
622,20,17,3,20,17,3,0
623,36,31,5,7,5,2,0
624,3,0,0,3,0,0,0
625,34,28,6,26,21,5,0
626,4,0,4,4,0,4,0
627,22,19,3,22,19,3,0
628,11,7,4,11,0,4,0
629,5,2,3,5,2,3,0
630,18,13,5,13,11,2,0
631,9,4,5,9,4,5,0
632,1,0,1,1,0,1,0
633,9,7,2,9,7,2,0
634,20,16,4,20,16,4,0
635,12,8,4,8,0,0,0
636,21,19,2,20,18,2,0
637,17,14,3,13,10,3,0
638,12,10,2,12,10,2,0
639,17,14,3,17,14,3,0
640,14,10,4,3,0,3,0
641,20,16,4,20,16,4,0
642,21,19,2,21,19,2,0
643,10,0,10,10,0,10,0
644,13,10,3,13,10,3,0
645,10,6,4,4,4,0,0
646,4,2,2,4,2,2,0
647,13,10,3,13,10,3,0
648,15,11,4,14,10,4,0
649,19,13,6,19,13,6,0
650,25,18,7,25,18,7,0
651,15,11,4,15,11,4,0
652,1,0,0,0,0,0,0
653,22,17,5,22,17,5,0
654,37,26,11,11,6,5,0
655,12,7,5,10,5,5,0
656,17,14,3,17,14,3,0
657,13,10,3,12,10,2,0
658,6,4,2,6,4,2,0
659,10,7,3,10,7,3,0
660,20,16,4,20,16,4,0
661,36,30,6,36,30,6,0
662,19,15,4,17,13,4,0
663,16,13,3,2,2,0,0
664,13,10,3,13,10,3,0
665,15,11,4,13,10,3,0
666,35,26,9,35,26,9,0
667,26,20,6,26,20,6,0
668,19,10,9,19,10,9,0
669,15,11,4,14,10,4,0
670,21,0,0,19,0,0,0
671,10,0,10,10,0,10,20
672,39,33,6,25,20,5,0
673,3,0,3,3,0,3,0
674,3,0,3,3,0,3,0
675,24,20,4,24,20,4,0
676,7,4,3,7,4,3,0
677,31,27,4,13,11,2,0
678,17,13,4,17,13,4,0
679,20,16,4,20,16,4,0
680,23,3,20,23,3,20,0
681,41,35,6,40,34,6,0
682,17,0,0,17,0,0,0
683,16,0,0,16,0,0,0
684,13,0,0,12,0,0,0
685,25,18,7,10,9,1,0
686,22,18,4,20,16,4,0
687,10,0,10,10,0,10,63
688,27,23,4,27,23,4,0
689,3,0,3,3,0,3,0
690,17,13,4,17,13,4,0
691,21,18,3,18,18,3,0
692,7,3,4,7,3,4,0
693,22,0,22,22,0,22,0
694,25,21,4,25,21,4,0
695,20,15,5,20,15,5,0
696,15,11,4,15,11,4,0
697,24,20,4,24,20,4,0
698,15,12,3,13,12,3,0
699,20,15,5,20,15,5,0
700,19,10,9,19,10,9,0
701,1,0,0,1,0,0,37
702,3,0,3,2,0,2,0
703,3,0,3,3,0,3,0
704,15,11,4,15,11,4,0
705,10,7,3,10,7,3,0
706,3,0,3,3,0,3,0
707,31,27,4,31,27,4,0
708,25,0,25,25,0,25,0
709,5,3,2,5,3,2,0
710,24,21,3,24,21,3,0
711,14,10,4,14,10,4,0
712,2,0,2,2,0,2,0
713,16,13,3,16,13,3,0
714,21,0,0,21,0,0,0
715,6,3,3,6,3,3,0
716,7,4,3,5,4,1,0
717,20,17,3,9,6,3,0
718,16,11,5,16,11,5,0
719,12,9,3,12,9,3,0
720,14,0,0,14,0,0,0
721,22,18,4,22,18,4,0
722,22,17,5,22,17,5,0
723,22,18,4,22,18,4,0
724,6,0,6,6,0,6,0
725,4,1,3,2,1,1,0
726,10,8,2,10,8,2,0
727,2,0,2,2,0,2,19
728,17,15,2,17,15,2,0
729,26,20,6,26,20,6,0
730,22,17,5,22,17,5,0
731,24,17,7,22,16,6,0
732,28,24,4,28,24,4,0
733,31,26,5,17,17,0,0
734,2,0,2,2,0,2,0
735,3,0,3,3,0,3,58
736,20,14,6,20,14,6,5
737,15,12,3,11,8,3,0
738,18,14,4,18,14,4,0
739,5,2,3,5,2,3,0
740,20,16,4,20,16,4,0
741,13,0,13,13,0,13,2
742,19,16,3,19,16,3,0
743,17,13,4,17,13,4,0
744,9,5,4,9,5,4,0
745,3,0,3,3,0,3,0
746,7,4,3,7,4,3,0
747,30,0,0,1,0,0,0
748,29,22,7,1,1,0,0
749,15,12,3,15,12,3,0
750,9,6,3,1,1,0,0
751,24,19,5,24,19,5,0
752,24,21,3,24,21,3,0
753,17,14,3,17,14,3,0
754,1,0,0,0,0,0,0
755,20,17,3,20,17,3,0
756,30,25,5,25,20,5,0
757,11,7,4,11,7,4,0
758,16,14,2,16,14,2,0
759,10,6,4,10,6,4,0
760,3,0,3,3,0,3,0
761,17,14,3,9,6,3,0
762,5,0,0,5,0,0,0
763,16,11,5,16,11,5,0
764,3,2,1,3,2,1,0
765,4,0,4,4,0,4,0
766,30,0,0,23,0,0,0
767,24,21,3,24,21,3,0
768,6,0,6,4,0,4,0
769,3,0,3,3,0,3,0
770,11,0,0,11,0,0,0
771,10,8,2,10,8,2,0
772,26,22,4,23,21,2,0
773,23,19,4,23,19,4,0
774,24,21,3,24,21,3,0
775,11,7,4,11,7,4,0
776,8,8,0,8,8,0,0
777,22,19,3,17,15,2,0
778,30,26,4,13,13,0,0
779,24,20,4,24,20,4,0
780,3,0,3,3,0,3,0
781,20,17,3,20,17,3,0
782,13,11,2,13,11,2,0
783,20,17,3,18,15,3,0
784,25,22,3,25,22,3,0
785,21,16,5,21,16,5,0
786,31,26,5,31,26,5,0
787,13,11,2,6,6,0,0
788,21,15,6,21,15,6,0
789,30,25,5,30,25,5,1
790,31,25,6,31,25,6,0
791,23,19,4,20,16,4,0
792,21,18,3,21,18,3,0
793,3,0,3,3,0,3,0
794,11,9,2,2,1,1,0
795,27,0,0,27,0,0,0
796,2,0,0,2,0,0,36
797,12,0,0,12,0,0,0
798,15,0,0,15,0,0,0
799,28,24,4,28,24,4,0
800,10,4,6,3,1,2,0
801,3,1,2,3,1,2,11
802,12,9,3,12,9,3,0
803,14,10,4,4,4,0,0
804,16,12,4,16,12,4,0
805,22,19,3,22,19,3,0
806,11,7,4,11,7,4,0
807,24,21,3,23,20,3,0
808,29,26,3,29,26,3,0
809,20,17,3,20,17,3,0
810,15,12,3,2,2,0,0
811,23,18,5,23,18,5,0
812,26,20,6,26,20,6,0
813,31,25,6,31,25,6,0
814,59,55,4,59,55,4,0
815,31,28,3,31,28,3,0
816,25,21,4,25,21,4,0
817,14,12,2,14,12,2,0
818,5,4,1,5,4,1,0
819,16,13,3,9,9,0,0
820,50,46,4,45,44,1,0
821,30,26,4,26,22,4,0
822,44,40,4,44,40,4,0
823,3,0,3,1,0,1,0
824,27,0,0,22,0,0,0
825,24,20,4,24,20,4,0
826,20,16,4,20,16,4,0
827,44,0,0,44,0,0,0
828,29,22,7,29,22,7,0
829,17,14,3,16,13,3,0
830,28,25,3,28,25,3,0
831,27,22,5,27,22,5,0
832,28,23,5,28,23,5,0
833,14,0,14,14,0,14,0
834,13,0,13,13,0,13,0
835,21,19,2,17,15,2,0
836,17,13,4,17,13,4,0
837,8,5,3,8,5,3,0
838,10,6,4,10,6,4,0
839,12,9,3,1,1,0,0
840,11,7,4,3,0,3,0
